metric,group,elasticity
exact_match,single,3.607100082678934
exact_match,few,0.2473344202969684
exact_match,many,-0.0
exact_match,few+many,0.135120162362294
edit_sim,single,4.0765785025466865
edit_sim,few,0.3533348861385263
edit_sim,many,-0.0
edit_sim,few+many,0.1930288033747058
jaccard_sim,single,4.529513920150891
jaccard_sim,few,2.680467699546292
jaccard_sim,many,-0.0
jaccard_sim,few+many,1.3320976672412357
rouge_l,single,1.864341426768663
rouge_l,few,1.8589325650429849
rouge_l,many,-0.0
rouge_l,few+many,0.941134984075608
bleu,single,4.214389236922847
bleu,few,1.0070044254947998
bleu,many,-0.0
bleu,few+many,0.5501320896179117
bert_cosine,single,0.8140276126890327
bert_cosine,few,2.3276408487843914
bert_cosine,many,-0.0
bert_cosine,few+many,1.1848333152100297
